Range_of_ages
1 70

Data_set_1
249 # data points
2 # readers
1 50 4 # minus group; plus group; reference age
   1    2
424 5 5
17 1 2
353 2 2
64 3 2
496 3 3
103 4 3
418 4 4
350 1 1
59 3 4
107 0 0
18 11 12
15 11 10
211 7 7
12 13 11
23 2 1
110 4 5
29 4 6
35 3 5
100 6 5
109 5 4
68 6 7
55 8 7
9 18 18
10 9 5
9 12 11
3 29 29
8 16 18
232 6 6
3 32 30
3 25 24
118 5 6
5 15 12
8 23 22
2 27 21
3 22 19
101 8 8
23 13 13
51 7 8
4 27 27
3 23 23
6 10 13
2 15 10
4 7 12
10 6 9
7 6 3
41 7 5
30 8 6
33 9 9
2 17 19
16 10 12
8 17 17
2 36 34
25 8 10
9 10 14
4 15 17
16 9 11
19 13 14
5 21 22
2 7 3
22 9 10
6 19 20
3 36 35
29 12 12
6 16 13
2 21 17
3 37 30
7 13 17
6 18 20
16 15 15
9 11 8
4 17 21
33 8 9
15 11 13
3 25 26
2 42 40
7 3 6
27 6 4
4 20 21
4 31 31
2 29 34
17 7 10
11 12 10
3 13 16
3 19 18
3 18 14
12 14 15
2 31 28
5 20 19
11 19 19
17 14 14
12 16 16
18 9 7
5 11 14
25 5 3
39 2 3
18 4 2
9 15 18
2 21 24
5 27 28
2 27 22
13 2 4
2 37 34
5 9 4
4 5 2
39 5 7
73 7 6
29 10 10
3 14 11
3 16 12
15 10 8
21 9 8
4 10 7
14 15 14
10 12 14
14 8 5
6 14 12
4 23 26
2 34 32
2 38 44
36 11 11
4 10 6
3 15 19
7 7 11
2 5 12
5 8 12
2 1 3
31 6 8
2 15 20
11 11 9
11 9 6
3 21 23
5 16 17
18 10 11
3 12 7
2 14 7
21 10 9
2 30 28
3 16 19
3 41 38
2 26 25
10 8 11
2 32 22
6 18 17
9 16 14
7 21 21
7 16 15
19 7 9
23 12 13
2 16 11
2 32 26
2 29 25
2 39 34
6 18 16
12 13 12
11 14 13
2 32 25
2 14 17
3 19 17
4 17 8
2 13 7
2 27 23
5 9 12
2 21 20
2 16 9
2 15 9
3 11 7
8 17 18
7 17 16
3 22 20
9 15 16
3 28 25
6 11 15
4 22 22
2 28 30
3 18 21
6 12 15
3 33 31
2 23 21
2 4 9
2 13 20
2 6 11
2 27 26
4 2 5
2 36 41
8 7 4
3 4 8
2 24 27
5 4 7
2 26 29
3 5 10
2 43 42
2 36 46
4 20 24
2 25 25
2 21 19
3 17 24
2 26 27
2 31 33
9 13 15
4 24 23
2 11 16
2 48 64
3 24 28
2 50 50
3 15 13
2 21 18
2 8 13
2 12 17
2 31 32
2 13 21
3 8 4
3 28 26
2 44 40
2 52 47
4 27 25
3 20 18
2 34 28
6 12 16
4 15 11
3 5 9
2 13 18
6 20 22
11 5 8
4 14 18
4 13 10
3 16 20
2 16 21
2 42 42
2 28 28
2 14 24
4 10 5
2 22 24
2 22 21
3 11 6
2 19 21
2 19 16
3 10 17
3 22 23
2 20 20
2 28 27
2 13 19
3 41 42
3 12 8
2 11 21
2 24 21
2 23 24
2 37 36
2 17 14
3 12 9
