"year","month","fleet","sex","partition","input_n","f18","f20","f22","f24","f26","f28","f30","f32","f34","f36","f38","f40","f42","f44","f46","f48","f50","f52","f54","f56","f58","f60","f62","f64","f66","f68","f70","f72","f74","f76","f78","f80","f82","f84","f86","f88","f90","m18","m20","m22","m24","m26","m28","m30","m32","m34","m36","m38","m40","m42","m44","m46","m48","m50","m52","m54","m56","m58","m60","m62","m64","m66","m68","m70","m72","m74","m76","m78","m80","m82","m84","m86","m88","m90"
1974,"7",1,0,2,7.06,0,0,0,0,0,0,0,0,0,0,2354.3129,8109.2999,8109.2999,7062.9386,6801.3483,784.771,523.1806,1046.3613,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1975,"7",1,0,2,7.06,0,0,0,0,0,0,0,0,0,0,383.6054,3452.4486,13426.189,18029.4538,18413.0592,13042.5836,11508.162,5370.4756,6521.2918,1150.8162,767.2108,383.6054,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1977,"7",1,0,2,7.06,0,0,0,0,0,0,0,0,0,0,0,0,410.6368,821.2737,1642.5473,1231.9105,2053.1842,2874.4579,7802.0999,11908.4682,11497.8314,17246.7471,11087.1946,14372.2893,11087.1946,11908.4682,11087.1946,9444.6472,5748.9157,4517.0052,3695.7315,1642.5473,821.2737,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1978,"7",1,0,2,141.2,0,0,0,0,0,0,0,0,214.569,3642.3648,10979.8401,79002.9883,115811.8619,104043.7244,46254.8502,29104.143,32169.0313,36640.5595,50073.9983,38971.3376,25806.6348,20895.1488,25516.8006,14620.2748,9729.3569,13132.5515,3786.3289,5280.7058,2740.2252,1198.4675,798.9783,199.7446,1741.5023,0,0,199.7446,1741.5023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1979,"7",1,0,2,85.69,0,0,0,0,0,0,0,1606.6134,0,0,0,0,5686.4265,16136.5837,47966.2125,93009.948,84070.7951,64924.5843,45215.4967,46054.9203,47250.2502,17414.3375,4836.4136,3860.3971,476.6775,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1980,"7",1,0,2,388.3,0,0,0,0,0,0,0,0,0,0,874.1064,8805.6643,31879.688,36521.3449,61769.3626,103109.5349,300155.4903,557315.2637,692337.5922,621895.7558,451683.2047,295180.2996,182163.8493,118367.8034,67515.9578,34347.5162,33394.5161,16482.9141,12852.9069,12716.5854,7300.5599,4819.8401,3213.2267,6426.4535,0,0,3885.6163,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1981,"7",1,0,2,247.1,0,0,0,0,0,0,0,0,0,1606.6134,0,3188.216,17158.9772,77666.4204,149677.262,182087.5648,209046.547,234174.7931,309838.1862,301013.851,228174.4966,189253.3055,102242.8259,92939.6015,54297.6186,41823.6146,47417.0874,14686.4162,18470.161,5907.1919,6117.593,2290.0288,0,565.6426,0,1548.6526,4914.916,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1983,"7",1,0,2,56.48,0,0,0,0,0,0,0,0,0,0,0,0,139.3052,638.5977,3843.3102,11914.3974,21239.1317,29860.9687,42530.8189,51866.7663,78802.7887,59678.5576,60116.0942,33254.0875,40822.1787,16779.7703,21287.7633,10191.4686,7467.9806,9228.6639,5900.391,4854.4605,199.1176,1995.0085,5437.7647,4949.3051,1995.0085,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1985,"7",1,0,2,169.44,0,0,0,0,0,0,0,0,0,0,3340.3877,9172.7767,62865.0013,95920.1991,175491.9319,290072.5876,275324.5998,255011.142,242404.5982,141870.9106,86115.9954,72272.923,53394.9973,31007.7274,23638.5348,19603.815,13604.122,11637.4978,3280.8882,2806.1138,4625.3073,2632.5329,1801.1212,889.1984,484.8547,0,611.5841,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1986,"7",1,0,2,43.116,0,0,0,0,0,0,0,0,0,307.1504,4993.7575,4860.5244,5959.0009,4352.3875,6521.9326,2278.3216,5695.8039,3417.4823,3417.4823,1139.1608,5371.912,5398.9894,9095.8747,11113.1662,2384.1399,1258.8677,1958.1379,576.0113,161.2667,245.5764,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1987,"7",1,0,2,35.012,0,0,0,0,0,0,0,0,0,0,1606.6134,3033.1819,3460.3119,3220.9616,4748.4201,6835.0108,17272.8364,13423.5325,18589.4521,8883.0751,13573.6127,8097.3493,6085.4515,8618.7656,2006.392,2211.5306,1170.6275,892.0574,446.0287,0,446.0287,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1988,"7",1,0,2,18.456,0,0,0,0,0,0,2452.0571,7969.1856,11647.2712,12260.2855,7969.1856,2452.0571,1839.0428,613.0143,613.0143,667.4273,667.4273,2927.8266,2309.2354,3274.247,3576.5158,969.6962,646.4641,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1989,"7",1,0,2,12.762,0,0,0,0,0,0,0,0,0,0,0,1212.3407,417.5557,0,2030.944,1252.667,7869.9485,2922.8897,2087.7784,1252.667,835.1113,835.1113,417.5557,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1990,"7",1,0,2,17.21,0,0,0,0,0,0,0,0,0,0,478.9464,957.8927,2678.6017,3009.8505,1644.9207,1381.1586,1830.2786,658.3184,2270.6668,0,0,0,2243.2449,1495.4966,1495.4966,1202.5439,0,1819.1824,454.7956,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1991,"7",1,0,2,22.49,0,0,0,0,0,0,0,0,0,0,337.7251,1964.1123,2701.8012,3977.451,3209.5113,4520.899,5306.218,2472.2128,1647.6938,1105.1096,1105.1096,843.1158,581.1221,957.3852,658.0938,957.3852,638.2568,319.1284,0,319.1284,0,319.1284,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1992,"7",1,0,2,1.138,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44.2661,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1993,"7",1,0,2,175.272,0,0,0,0,0,0,0,3431.1991,8098.4673,9761.4359,11927.5446,10225.0939,9122.3492,15692.3829,33625.9022,44517.6723,60102.2033,64098.0274,49990.7042,35337.478,25825.2484,8885.2007,2202.7539,4756.0393,1853.9422,877.6841,821.8578,1134.6787,249.0092,726.9663,23.9004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
