#year,month,fleet,sex,partition,age_error,age_low,age_high,input_n,f0,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,f15,f16,f17,f18,f19,f20,f21,f22,f23,f24,f25,f26,f27,f28,f29,f30,f31,f32,f33,f34,f35,f36,f37,f38,f39,f40,f41,f42,f43,f44,f45,f46,f47,f48,f49,f50,m0,m1,m2,m3,m4,m5,m6,m7,m8,m9,m10,m11,m12,m13,m14,m15,m16,m17,m18,m19,m20,m21,m22,m23,m24,m25,m26,m27,m28,m29,m30,m31,m32,m33,m34,m35,m36,m37,m38,m39,m40,m41,m42,m43,m44,m45,m46,m47,m48,m49,m50
2006,7,4,0,2,1,-1,-1,325,0.777016378,7.480155463,33.05844138,6.184743363,5.77779496,8.78429558,15.37010223,7.907726358,1.856406049,2.636146603,1.425479176,1.927386529,0.72125893,0.445800997,0.22967559,0.269648627,0,0.23712819,0.138211859,0.586045383,0,0.196477643,0.071815966,0.273713682,0.102981385,0.655540546,0.027100365,0,0,0.183485892,0,0.607499839,0,0.035230474,0.044715602,0,0,0.131436768,0.035230474,0.121155054,0,0,0.365008035,0.16802226,0,0.012646837,0.013550182,0.280488773,0,0.006775091,0.853661483,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2007,7,4,0,2,1,-1,-1,301,0.275986865,15.09438461,2.181285876,17.91013509,4.904021548,10.79372436,7.62695727,14.90605903,4.618134306,5.02553371,1.696670008,0.825867104,0.201950729,0.226255521,0.079542957,0.67346625,0.26691081,0.134339216,0.394338671,0.086613442,1.513083796,0.482012641,0.924950587,0.552684801,0.154626069,1.322622066,0.438370072,0.026514319,0.475490118,0,0.063634365,0.123733488,0.753006656,0.134023569,0,0.461349148,0.230977732,0.384821178,0,0.206813023,0,0.933304024,0.024746698,0.312868963,0.595688364,0.753006656,0,0,0.037120046,0,1.172374259,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2008,7,4,0,2,1,-1,-1,311,3.173135109,3.420654519,23.84832067,2.801977715,2.204800419,1.394471851,9.504855172,7.320522416,13.88973612,5.185704708,3.409755249,2.012674558,2.077552063,0.837110927,0.770140179,0.030440323,0.429453304,1.057040225,1.25109831,1.503751969,2.423050756,0.194818069,0.468780978,0.974091368,0.488372058,0.234390489,0.316583515,2.255122883,0.800580502,0,0.179597907,0,0.925386851,0.447476065,0.05174855,0.77369155,0.073056776,0.952786271,0.197862101,0.922341795,0,0.112629196,0,0,0.136981455,0.18264194,0,0.371371944,0.225258392,0,0.168182786,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2009,7,4,0,2,1,-1,-1,588,0.716928661,91.40552116,2.422242326,0.31059999,0.007004617,0.284055639,0.163809228,0.276528607,0.967489665,0.736491836,1.336529529,0.265554022,0.170937225,0.054009281,0.120737472,0.145990958,0.019907858,0,0.051244651,0.048295339,0.030968319,0.00184332,0.007004617,0,0,0,0,0,0,0,0,0.037972396,0.002949312,0.008110609,0,0.00184332,0,0,0.110230547,0.010691257,0,0.02433151,0,0.035023083,0.00184332,0.02801815,0.030230681,0,0,0,0.165061495,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010,7,4,0,2,1,-1,-1,436,0.837164319,2.022765921,88.27378564,4.737845493,0.453092539,0.085981205,0.065430752,0.53800736,0.092563946,0.200109671,0.547011753,0.309280671,0.840777583,0.270805013,0,0.107683192,0,0.015983978,0,0,0.013227878,0,0,0,0,0.018739493,0,0,0.34392482,0,0,0,0,0,0,0,0.18959958,0.030707573,0,0,0,0,0,0,0,0,0,0,0,0,0.005511616,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011,7,4,0,2,1,-1,-1,215,15.08473694,62.81280343,7.188980316,12.33347826,1.135125111,0.027958747,0,0.055917493,0.027958747,0.027958747,0.055917493,0.08387624,0.139793733,0,0,0,0.91365975,0,0,0,0,0,0.027958747,0,0.055917493,0,0,0,0,0,0,0,0.027958747,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012,7,4,0,2,1,-1,-1,185,1.105327561,68.00891185,20.12741528,4.434531866,4.116507795,0.532566916,0.100484324,0.301452971,0,0,0.301452971,0.050242162,0,0,0,0,0.050242162,0,0,0,0,0,0,0,0,0,0,0,0.050242162,0.050242162,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.301452971,0,0.468926844,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013,7,4,0,2,1,-1,-1,245,40.73494638,29.09046368,13.82788283,7.364850882,4.86714623,3.546166928,0.279453372,0.144544848,0,0,0,0,0,0,0.072272424,0,0,0.024090808,0,0,0,0,0,0.048181616,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014,7,4,0,2,1,-1,-1,402,4.552804248,85.59050823,3.747386856,0.756604703,1.285475155,0.664695425,2.159711186,0.715198476,0,0.082812455,0.297371998,0,0,0,0.009410506,0,0,0,0,0,0,0.009410506,0,0,0,0.081557721,0,0,0,0,0,0,0,0,0,0,0,0,0.047052531,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015,7,4,0,2,1,-1,-1,288,1.576368569,35.63377734,52.36549231,6.663473624,0.23177846,1.69038806,0.158712599,0.267101691,0.225626273,0.066775423,0.274843769,0,0,0.086500644,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.014516396,0,0,0,0,0,0,0,0,0.014516396,0,0,0,0,0.014516396,0,0,0,0,0,0,0.715612051,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
