#year,month,fleet,sex,partition,input_n,U-18,U-20,U-22,U-24,U-26,U-28,U-30,U-32,U-34,U-36,U-38,U-40,U-42,U-44,U-46,U-48,U-50,U-52,U-54,U-56,U-58,U-60,U-62,U-64,U-66,U-68,U-70,U-72,U-74,U-76,U-78,U-80,U-82,U-84,U-86,U-88,U-90,U-18.1,U-20.1,U-22.1,U-24.1,U-26.1,U-28.1,U-30.1,U-32.1,U-34.1,U-36.1,U-38.1,U-40.1,U-42.1,U-44.1,U-46.1,U-48.1,U-50.1,U-52.1,U-54.1,U-56.1,U-58.1,U-60.1,U-62.1,U-64.1,U-66.1,U-68.1,U-70.1,U-72.1,U-74.1,U-76.1,U-78.1,U-80.1,U-82.1,U-84.1,U-86.1,U-88.1,U-90.1
2004,7,4,0,2,6,0,0,0,0,0,0,0,0,0,0,0,0,0.155520869,0,0,0.155520869,0.155520869,27.37167295,0,55.98759406,0,0,0,0,0,0,0,0,0,0,0,16.17417038,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2005,7,4,0,2,4,0,0,0,0,0,0,0,6.445340791,0,0,0,22.68534794,15.12356529,8.073863565,7.561782646,11.29653396,12.46650343,4.392639865,0,4.392639865,0,0,0,7.561782646,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2006,7,4,0,2,325,0.140822748,0.006775091,0.040650547,0.385909191,0.134146805,0.060581887,0.180217424,0.588077911,1.068002866,2.706507231,5.117080256,6.685456512,10.05192204,10.01467553,15.63556436,9.222495594,10.20779374,6.63405074,4.560711131,6.895120449,2.659387835,1.29753223,1.930558394,1.595176731,0.653118786,0.493226635,0.972106501,0.062330838,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2007,7,4,0,2,301,0.033822753,0,0,0.022979076,0.030049561,0.015908591,0.173226883,0.383534155,0.996595956,3.961887901,3.688396904,3.664812218,2.399157472,2.409907414,8.834506056,12.00750089,13.03818999,12.74124165,11.06244124,8.047545859,7.914388838,3.813892727,2.540364394,0.818772197,0.523822209,0,0.562692327,0.314362727,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2008,7,4,0,2,311,0,0,0.43225259,0.78536034,0.859169171,0.648880256,0.43225259,0.408322115,0.423120493,0.716362274,1.616381165,4.716274845,8.221392467,6.457249547,8.648827386,8.261129472,5.936210749,12.75906667,9.163485875,5.711433695,3.766990004,6.657308593,7.116951894,2.264763364,2.085162144,1.342418256,0.22221436,0,0,0.066968711,0.216126295,0.033484356,0,0.030440323,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2009,7,4,0,2,588,0,0.00184332,0.040061492,0.599079058,0.075944791,1.251188,9.822610565,15.37830223,21.21691707,11.21532201,14.79591341,12.72900112,5.899007601,1.34782111,0.95066166,0.816902892,0.98479387,1.214196311,0.548557064,0.45685966,0.292988932,0.093640349,0.037972079,0.009216601,0.058249268,0.056405948,0.02433151,0.08036876,0,0.00184332,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010,7,4,0,2,436,0,0.009369747,0.037478987,0,0,0.060627773,0.481715212,0.695515796,0.389139307,2.744546151,6.975088121,20.97667931,21.41246935,19.91964458,19.33285257,3.468935778,1.634071973,0.980618434,0.520896894,0.052202874,0.179915177,0.124925004,0,0,0,0,0,0,0.003306969,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011,7,4,0,2,215,0.603908926,0.911455139,3.178350311,5.187123659,5.203898907,3.237622854,5.592643996,5.540918722,7.247866117,18.35639988,18.27021295,10.36466632,7.323297615,3.202805144,1.36812178,2.881955509,0.08387624,0.279587466,0.08387624,0.055917493,0.969577243,0.027958747,0.027958747,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012,7,4,0,2,185,0,0,0.522518483,0.442131024,1.024940102,1.708233503,3.545686321,8.220319754,27.81769609,14.78807882,14.42300866,7.478365614,7.897390561,4.926905052,2.970986505,1.3967321,0.462227889,1.591001792,0.180871783,0.401937295,0.200968647,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013,7,4,0,2,245,0.425604274,1.46733096,4.263470734,9.418903632,9.854746499,11.87596528,4.481693303,4.268891166,6.333024509,8.063367232,8.56094204,8.875398026,8.383601161,3.746239453,4.423072337,4.967524596,0.445679947,0.048181616,0.048181616,0.048181616,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
