"year","month","fleet","discard_rate","sd"
1985,7,1,0.3731,0.2577
1986,7,1,0.3637,0.2368
1987,7,1,0.3532,0.229
2002,7,1,0.5746,0.05
2003,7,1,0.2596,0.03
2004,7,1,0.2435,0.032
2005,7,1,0.1871,0.03
2006,7,1,0.123,0.03
2007,7,1,0.1195,0.03
2008,7,1,0.0547,0.03
2009,7,1,0.1006,0.03
2010,7,1,0.1465,0.03
2011,7,1,0.0049,0.03
2012,7,1,0.005,0.03
2013,7,1,0.005,0.03
2014,7,1,0.0158,0.03
2015,7,1,0.0079,0.03
2016,7,1,0.0178,0.03
2017,7,1,0.0289,0.03
2018,7,1,0.0169,0.03
2019,7,1,0.0639,0.03
2020,7,1,0.0998,0.03
2021,7,1,0.1219,0.03
2022,7,1,0.1396,0.03
2023,7,1,0.1735,0.03
2002,7,2,0.1766,0.03
2003,7,2,0.1644,0.03
2004,7,2,0.1068,0.03
2005,7,2,0.1128,0.03
2006,7,2,0.1171,0.03
2007,7,2,0.105,0.03
2008,7,2,0.1492,0.03
2009,7,2,0.0742,0.03
2010,7,2,0.1442,0.03
2011,7,2,0.1858,0.033
2012,7,2,0.2599,0.03
2013,7,2,0.1686,0.032
2014,7,2,0.1299,0.037
2015,7,2,0.1641,0.03
2016,7,2,0.2423,0.038
2017,7,2,0.147,0.03
2018,7,2,0.1648,0.03
2019,7,2,0.2263,0.03
2020,7,2,0.1018,0.03
2021,7,2,0.2618,0.032
2022,7,2,0.1891,0.03
2023,7,2,0.2334,0.03
2002,7,3,0.3153,0.067
2003,7,3,0.146,0.03
2004,7,3,0.3261,0.057
2005,7,3,0.1415,0.03
2006,7,3,0.1819,0.034
2007,7,3,0.2553,0.031
2008,7,3,0.2027,0.058
2009,7,3,0.2065,0.03
2010,7,3,0.1879,0.051
2011,7,3,0.2517,0.03
2012,7,3,0.2718,0.044
2013,7,3,0.275,0.038
2014,7,3,0.1773,0.045
2015,7,3,0.2411,0.038
2016,7,3,0.2367,0.03
2017,7,3,0.1152,0.047
2018,7,3,0.222,0.03
2019,7,3,0.2411,0.03
2020,7,3,0.2258,0.03
2021,7,3,0.0852,0.03
2022,7,3,0.2251,0.03
2023,7,3,0.3581,0.053
