"Year","Quantity","Assessment_Year","Value"
1891,"SSB","2005",NA
1891,"SSB","2007",NA
1891,"SSB","2011",NA
1891,"SSB","2015",NA
1892,"SSB","2005",NA
1892,"SSB","2007",NA
1892,"SSB","2011",NA
1892,"SSB","2015",NA
1893,"SSB","2005",NA
1893,"SSB","2007",NA
1893,"SSB","2011",NA
1893,"SSB","2015",NA
1894,"SSB","2005",NA
1894,"SSB","2007",NA
1894,"SSB","2011",NA
1894,"SSB","2015",NA
1895,"SSB","2005",NA
1895,"SSB","2007",NA
1895,"SSB","2011",NA
1895,"SSB","2015",NA
1896,"SSB","2005",NA
1896,"SSB","2007",NA
1896,"SSB","2011",NA
1896,"SSB","2015",NA
1897,"SSB","2005",NA
1897,"SSB","2007",NA
1897,"SSB","2011",NA
1897,"SSB","2015",NA
1898,"SSB","2005",NA
1898,"SSB","2007",NA
1898,"SSB","2011",NA
1898,"SSB","2015",NA
1899,"SSB","2005",NA
1899,"SSB","2007",NA
1899,"SSB","2011",NA
1899,"SSB","2015",NA
1900,"SSB","2005",NA
1900,"SSB","2007",244803
1900,"SSB","2011",178804
1900,"SSB","2015",146687
1901,"SSB","2005",NA
1901,"SSB","2007",244809
1901,"SSB","2011",178544
1901,"SSB","2015",146402
1902,"SSB","2005",NA
1902,"SSB","2007",244788
1902,"SSB","2011",178259
1902,"SSB","2015",146093
1903,"SSB","2005",NA
1903,"SSB","2007",244740
1903,"SSB","2011",177943
1903,"SSB","2015",145751
1904,"SSB","2005",NA
1904,"SSB","2007",244662
1904,"SSB","2011",177595
1904,"SSB","2015",145378
1905,"SSB","2005",NA
1905,"SSB","2007",244555
1905,"SSB","2011",177215
1905,"SSB","2015",144972
1906,"SSB","2005",NA
1906,"SSB","2007",244418
1906,"SSB","2011",176826
1906,"SSB","2015",144557
1907,"SSB","2005",NA
1907,"SSB","2007",244253
1907,"SSB","2011",176428
1907,"SSB","2015",144133
1908,"SSB","2005",NA
1908,"SSB","2007",244059
1908,"SSB","2011",176024
1908,"SSB","2015",143703
1909,"SSB","2005",NA
1909,"SSB","2007",243838
1909,"SSB","2011",175613
1909,"SSB","2015",143267
1910,"SSB","2005",NA
1910,"SSB","2007",243591
1910,"SSB","2011",175166
1910,"SSB","2015",142796
1911,"SSB","2005",NA
1911,"SSB","2007",243318
1911,"SSB","2011",174683
1911,"SSB","2015",142289
1912,"SSB","2005",NA
1912,"SSB","2007",243020
1912,"SSB","2011",174163
1912,"SSB","2015",141746
1913,"SSB","2005",NA
1913,"SSB","2007",242700
1913,"SSB","2011",173604
1913,"SSB","2015",141166
1914,"SSB","2005",NA
1914,"SSB","2007",242356
1914,"SSB","2011",173008
1914,"SSB","2015",140550
1915,"SSB","2005",NA
1915,"SSB","2007",241990
1915,"SSB","2011",172373
1915,"SSB","2015",139896
1916,"SSB","2005",NA
1916,"SSB","2007",241604
1916,"SSB","2011",171700
1916,"SSB","2015",139208
1917,"SSB","2005",NA
1917,"SSB","2007",241197
1917,"SSB","2011",170578
1917,"SSB","2015",138067
1918,"SSB","2005",NA
1918,"SSB","2007",240771
1918,"SSB","2011",169081
1918,"SSB","2015",136548
1919,"SSB","2005",NA
1919,"SSB","2007",240326
1919,"SSB","2011",167093
1919,"SSB","2015",134536
1920,"SSB","2005",NA
1920,"SSB","2007",239862
1920,"SSB","2011",165937
1920,"SSB","2015",133363
1921,"SSB","2005",NA
1921,"SSB","2007",239382
1921,"SSB","2011",164969
1921,"SSB","2015",132388
1922,"SSB","2005",NA
1922,"SSB","2007",238885
1922,"SSB","2011",163817
1922,"SSB","2015",131235
1923,"SSB","2005",NA
1923,"SSB","2007",238372
1923,"SSB","2011",162970
1923,"SSB","2015",130397
1924,"SSB","2005",NA
1924,"SSB","2007",237843
1924,"SSB","2011",161713
1924,"SSB","2015",129151
1925,"SSB","2005",NA
1925,"SSB","2007",237300
1925,"SSB","2011",160438
1925,"SSB","2015",127891
1926,"SSB","2005",NA
1926,"SSB","2007",236742
1926,"SSB","2011",159048
1926,"SSB","2015",126522
1927,"SSB","2005",NA
1927,"SSB","2007",236170
