"year","sex","age","pred_weight"
1986,"F",0,0.245328138975691
1986,"F",1,0.502117251303982
1986,"F",2,0.925949833254357
1986,"F",3,1.5273689128872
1986,"F",4,1.92174591975899
1986,"F",5,2.10643355924883
1986,"F",6,2.2514736005891
1986,"F",7,2.30994748195386
1986,"F",8,2.62106996737712
1986,"F",9,2.66772736404025
1986,"F",10,2.74143066089984
1986,"F",11,2.76978140759626
1986,"F",12,2.7149016765149
1986,"F",13,2.69126951146046
1986,"F",14,2.9717399482888
1986,"F",15,2.91792195903314
1986,"F",16,3.20678220275841
1986,"F",17,3.43834259979989
1986,"F",18,3.61220755217329
1986,"F",19,3.56639645959951
1986,"F",21,3.3311197419337
1986,"M",0,0.237857562904227
1986,"M",1,0.477664956656042
1986,"M",2,0.853902770268882
1986,"M",3,1.33965341401007
1986,"M",4,1.58052635194299
1986,"M",5,1.62654722829304
1986,"M",6,1.66258774932799
1986,"M",7,1.67551516563662
1986,"M",8,1.90848601848802
1986,"M",9,1.96374496617871
1986,"M",10,2.02468545353966
1986,"M",11,2.02518018818942
1986,"M",12,1.94997541907917
1986,"M",13,1.9062074678454
1986,"M",14,2.10215571533234
1986,"M",15,2.08682275808081
1986,"M",16,2.32569163158179
1986,"M",17,2.50776637040002
1986,"M",18,2.61326415064109
1986,"M",19,2.53488811230145
1986,"M",21,2.31737857054355
1986,"U",0,0.165554885118134
1986,"U",1,0.351324430452557
1986,"U",2,0.676981312706747
1986,"U",3,1.17872957885945
1986,"U",4,1.56880133016927
1986,"U",5,1.79537784168707
1986,"U",6,1.95317245686758
1986,"U",7,1.98676515237943
1986,"U",8,2.20333023782773
1986,"U",9,2.19622143906591
1986,"U",10,2.23466489845619
1986,"U",11,2.2491404647964
1986,"U",12,2.17740830824668
1986,"U",13,2.08863547549443
1986,"U",14,2.19264949105373
1986,"U",15,2.05157438977708
1986,"U",16,2.21227463049673
1986,"U",17,2.43789047869969
1986,"U",18,2.74365757516428
1986,"U",19,2.94743345589365
1986,"U",21,3.04391087411982
1989,"F",0,0.268262634552842
1989,"F",1,0.549582919068695
1989,"F",2,1.03489109254832
1989,"F",3,1.6943833828908
1989,"F",4,2.1729375444405
1989,"F",5,2.37446003002594
1989,"F",6,2.58210021113638
1989,"F",7,2.61050214592561
1989,"F",8,2.74129374158214
1989,"F",9,3.02400657065258
1989,"F",10,3.1085019119878
1989,"F",11,3.2919523150685
1989,"F",12,3.01737308760833
1989,"F",13,2.89370425491755
1989,"F",14,2.96296982153619
1989,"F",15,3.15091936533236
1989,"F",16,3.4027384432949
1989,"F",17,3.84897034655365
1989,"F",18,3.5709763127556
1989,"F",19,3.5607704163104
1989,"F",20,3.56490607544688
1989,"F",21,3.77376306738668
1989,"F",22,4.01707397842822
1989,"F",24,4.21052331396178
1989,"M",0,0.260093671844668
1989,"M",1,0.522819123489788
1989,"M",2,0.954367438836022
1989,"M",3,1.48614160231976
1989,"M",4,1.78711712864999
1989,"M",5,1.83351208186627
1989,"M",6,1.90673707097845
1989,"M",7,1.89352180930349
1989,"M",8,1.99602484614844
1989,"M",9,2.22600621070091
1989,"M",10,2.29578617225945
1989,"M",11,2.40697572402537
1989,"M",12,2.16722520816307
1989,"M",13,2.04959058799967
1989,"M",14,2.09595188444606
1989,"M",15,2.25345651212409
1989,"M",16,2.46780723531064
1989,"M",17,2.80725905449792
1989,"M",18,2.58343526669671
1989,"M",19,2.53088928872297
1989,"M",20,2.49264649604038
1989,"M",21,2.62531471102087
1989,"M",22,2.81888914477183
1989,"M",24,3.04022331014224
1989,"U",0,0.181031779845216
