year,sex,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30
1992,F,4,29,96,57,19,10,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1992,M,3,28,87,46,19,6,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1992,U,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1995,F,4,42,32,13,30,15,18,9,4,4,2,0,3,1,0,0,2,0,1,0,0,0,0,0,0,0,0,1,0,0,1
1995,M,10,46,23,19,22,12,12,8,1,6,1,1,1,0,1,0,0,1,1,0,1,1,1,2,0,0,0,0,0,0,1
1995,U,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1999,F,9,0,19,5,29,16,13,8,13,14,12,6,7,5,5,9,3,2,4,7,2,6,5,4,4,3,7,2,3,2,38
1999,M,11,2,8,9,28,15,11,7,6,5,5,11,4,4,4,5,3,5,6,3,6,1,4,7,1,2,6,4,3,2,42
2000,F,14,36,118,36,30,65,39,17,25,28,20,32,26,17,26,19,16,14,16,16,13,17,13,11,16,5,11,9,9,5,135
2000,M,20,39,99,32,27,56,34,18,20,17,21,21,25,15,22,15,15,16,10,13,12,11,9,6,13,9,7,13,13,14,154
2000,U,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2001,F,7,64,116,45,21,21,54,26,13,7,17,7,11,5,2,5,6,12,4,6,5,3,5,5,2,1,2,3,2,4,32
2001,M,6,40,92,21,9,9,25,17,11,8,11,10,7,8,9,8,3,2,2,3,4,6,6,3,4,4,2,1,5,1,45
2003,F,16,73,57,207,137,31,17,14,20,9,8,5,6,11,2,0,6,4,1,4,3,3,1,1,2,3,2,0,2,1,24
2003,M,27,69,49,159,149,28,28,11,11,13,3,4,6,6,8,3,4,2,6,2,3,10,4,3,2,6,3,4,4,6,58
2003,U,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2004,F,61,37,67,107,179,90,39,11,10,9,7,1,1,7,6,1,6,3,5,2,4,2,2,3,2,4,1,2,2,1,19
2004,M,60,40,94,97,178,71,19,9,9,15,4,3,2,5,7,3,2,5,5,4,4,7,4,1,6,5,1,3,4,6,46
2004,U,5,0,0,1,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2005,F,1,118,41,103,97,130,52,29,6,4,10,5,11,7,8,12,4,8,6,6,7,8,4,4,3,1,1,5,5,3,32
2005,M,3,105,41,104,132,130,57,23,12,12,21,12,12,8,8,10,8,6,13,8,7,2,9,8,14,7,5,4,5,3,51
2006,F,1,6,39,31,65,78,109,71,26,13,9,7,11,8,8,3,9,10,7,10,7,7,5,5,3,2,0,4,4,4,48
2006,M,3,4,51,25,48,92,117,56,22,24,21,21,8,11,6,7,5,10,5,11,6,9,13,7,5,12,4,10,3,3,116
2007,F,1,28,5,62,27,46,65,100,63,19,13,14,6,7,7,7,3,5,9,6,3,5,5,10,4,2,6,3,4,5,38
2008,F,8,3,26,4,19,16,42,62,89,36,22,18,13,6,7,6,4,5,9,5,10,3,3,8,4,4,6,9,5,4,34
2008,M,9,4,16,5,17,9,51,69,80,46,32,21,10,8,7,3,11,8,7,12,4,6,3,7,5,8,7,11,3,3,81
2008,U,136,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2009,F,10,167,9,10,7,23,12,18,19,54,37,19,9,4,6,4,5,2,6,2,1,9,1,2,1,3,4,4,2,2,55
2009,M,12,167,11,10,6,23,16,30,39,57,58,26,14,7,10,13,7,3,4,6,7,7,2,5,3,5,1,7,3,5,103
2009,U,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010,F,12,11,201,22,9,7,19,18,21,24,42,16,11,8,4,2,5,4,3,1,2,4,1,7,5,1,2,4,7,0,45
2010,M,22,15,256,30,3,4,14,23,12,30,43,40,16,7,4,7,8,3,5,4,4,7,4,3,8,1,5,6,5,7,92
2010,U,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011,F,19,112,24,169,19,8,13,18,15,20,14,23,13,13,6,4,4,2,6,4,5,5,2,1,3,4,1,2,1,4,34
